Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Child-care self-assessment to improve physical activity, oral health and nutrition for 2- to 4-year-olds: a feasibility cluster RCT.","/pubmed/31343857","Kipping R, Langford R, Brockman R, Wells S, Metcalfe C, Papadaki A, White J, Hollingworth W, Moore L, Ward D, Campbell R, Kadir B, Tinner L, Er V, Dias K, Busse H, Collingwood J, Nicholson A, et al.","Southampton (UK): NIHR Journals Library; 2019 Jul."," 2019","PubMed","citation","PMID:31343857","pubmed","31343857","create date:2019/07/26 | first author:Kipping R",
"[French comment on article Endoscopic ultrasound-guided gallbladder drainage versus percutaneous cholecystostomy for high risk surgical patients with acute cholecystitis: a systematic review and meta-analysis].","/pubmed/31344739","[No authors listed]","Endoscopy. 2019 Aug;51(8):806-807. doi: 10.1055/a-0965-1347. Epub 2019 Jul 25. French.  No abstract available. ","Endoscopy.  2019","PubMed","citation","PMID:31344739","pubmed","31344739","create date:2019/07/26",
"Cervical Cancer with Intermediate Risk Factors: Is there a Role for Adjuvant Radiotherapy? A Systematic Review and a Meta-Analysis.","/pubmed/31344705","Sagi-Dain L, Abol-Fol S, Lavie O, Sagi S, Ben Arie A, Segev Y.","Gynecol Obstet Invest. 2019 Jul 25:1-10. doi: 10.1159/000501683. [Epub ahead of print]","Gynecol Obstet Invest.  2019","PubMed","citation","PMID:31344705","pubmed","31344705","create date:2019/07/26 | first author:Sagi-Dain L",
"What Is the Optimal Radiotherapy Target Size for Non-Operable Esophageal Cancer? A Meta-Analysis.","/pubmed/31344698","Zhu H, Pan W, Chen Y, Chen H, Zuo Y, Sun X.","Oncol Res Treat. 2019 Jul 25:1-10. doi: 10.1159/000501594. [Epub ahead of print]","Oncol Res Treat.  2019","PubMed","citation","PMID:31344698","pubmed","31344698","create date:2019/07/26 | first author:Zhu H",
"Evaluating Digital Maturity and Patient Acceptability of Real-Time Patient Experience Feedback Systems: Systematic Review.","/pubmed/31344680","Khanbhai M, Flott K, Darzi A, Mayer E.","J Med Internet Res. 2019 Jan 14;21(1):e9076. doi: 10.2196/jmir.9076. Review.","J Med Internet Res.  2019","PubMed","citation","PMID:31344680","pubmed","31344680","create date:2019/07/26 | first author:Khanbhai M",
"Use of the Principles of Design Thinking to Address Limitations of Digital Mental Health Interventions for Youth: Viewpoint.","/pubmed/31344671","Scholten H, Granic I.","J Med Internet Res. 2019 Jan 14;21(1):e11528. doi: 10.2196/11528.","J Med Internet Res.  2019","PubMed","citation","PMID:31344671","pubmed","31344671","create date:2019/07/26 | first author:Scholten H",
"Publicly Funded Home and Community-Based Care for Children With Medical Complexity: Protocol for the Analysis of Medicaid Waiver Applications.","/pubmed/31344668","Keim-Malpass J, Letzkus LC, Constantoulakis L.","JMIR Res Protoc. 2019 Jul 25;8(7):e13062. doi: 10.2196/13062.","JMIR Res Protoc.  2019","PubMed","citation","PMID:31344668","pubmed","31344668","create date:2019/07/26 | first author:Keim-Malpass J",
"Anticipatory postural adjustment during gait initiation in multiple sclerosis patients: A systematic review.","/pubmed/31344607","Massot C, Simoneau-Buessinger E, Agnani O, Donze C, Leteneur S.","Gait Posture. 2019 Jul 19;73:180-188. doi: 10.1016/j.gaitpost.2019.07.253. [Epub ahead of print] Review.","Gait Posture.  2019","PubMed","citation","PMID:31344607","pubmed","31344607","create date:2019/07/26 | first author:Massot C",
"Safety of menopausal hormone therapy in breast cancer survivors older than fifty at diagnosis: A systematic review and meta-analysis.","/pubmed/31344603","Mudhune GH, Armour M, McBride KA.","Breast. 2019 Jun 17;47:43-55. doi: 10.1016/j.breast.2019.06.002. [Epub ahead of print] Review.","Breast.  2019","PubMed","citation","PMID:31344603","pubmed","31344603","create date:2019/07/26 | first author:Mudhune GH",
"Corrigendum to ""Biological markers evaluated in randomized trials of psychological treatments for depression: A systematic review and meta-analysis"" [Neurosci. Biobehav. Rev. 101 (2019) 32-44].","/pubmed/31344590","Cristea IA, Karyotaki E, Hollon SD, Cuijpers P, Gentili C.","Neurosci Biobehav Rev. 2019 Jul 22;104:222. doi: 10.1016/j.neubiorev.2019.06.004. [Epub ahead of print] No abstract available. ","Neurosci Biobehav Rev.  2019","PubMed","citation","PMID:31344590","pubmed","31344590","create date:2019/07/26 | first author:Cristea IA",
"Executive function predictors of delayed memory deficits after mild traumatic brain injury.","/pubmed/31344589","Broadway JM, Rieger RE, Campbell RA, Quinn DK, Mayer AR, Yeo RA, Wilson JK, Gill D, Fratzke V, Cavanagh JF.","Cortex. 2019 Jul 3;120:240-248. doi: 10.1016/j.cortex.2019.06.011. [Epub ahead of print]","Cortex.  2019","PubMed","citation","PMID:31344589","pubmed","31344589","create date:2019/07/26 | first author:Broadway JM",
"Association of IL-6, IL-10 and TGF-β1 gene polymorphisms with brucellosis: A systematic review with meta-analysis.","/pubmed/31344477","Fu J, He HY, Ojha SC, Shi H, Sun CF, Deng CL, Sheng YJ.","Microb Pathog. 2019 Jul 22:103640. doi: 10.1016/j.micpath.2019.103640. [Epub ahead of print] Review.","Microb Pathog.  2019","PubMed","citation","PMID:31344477","pubmed","31344477","create date:2019/07/26 | first author:Fu J",
