Recent queries in pubmed
Search,Query,Items found,Time
#51,"Search (((((((((((((((""""Arbeitsgemeinschaft fur Osteosynthesefragen""""[Title/Abstract]) OR """"Association for Osteosynthesis""""[Title/Abstract]) OR """"Arbeitsgemeinschaft fur Osteosynthesefragen""""[Title/Abstract]) OR """"Association for the Study of Internal Fixation""""[Title/Abstract]) OR AOSpine[Title/Abstract]) OR AO[Title/Abstract]) OR A2[Title/Abstract]) OR A3[Title/Abstract]) OR A4[Title/Abstract]) OR burst[Title/Abstract]) OR compression[Title/Abstract])) AND ((((((((spinal injuries[MeSH Terms]) OR fractures, bone[mh:noexp]) OR in[sh]) OR fracture*[Title]) OR injur*[Title])) AND (((((thoracic vertebrae[mh]) OR lumbar vertebrae[mh]) OR thoraco*[ti]) OR thoracic[ti]) OR lumbar[ti])) AND ((((((((((((demograph*[Title]) OR stats[Title]) OR statistic*[Title]) OR prevalence[Title]) OR occurrence[Title]) OR frequency[Title]) OR morbidity[Title]) OR incidence[Title]) OR distribut*[Title]) OR epidemiol*[Title]) OR ep[MeSH Subheading]) OR demography[MeSH Terms])))) AND 1600/01/01:2019/02/23[mhda])",217,12:48:28
#50,"Search ((((((((((((((""""Arbeitsgemeinschaft fur Osteosynthesefragen""""[Title/Abstract]) OR """"Association for Osteosynthesis""""[Title/Abstract]) OR """"Arbeitsgemeinschaft fur Osteosynthesefragen""""[Title/Abstract]) OR """"Association for the Study of Internal Fixation""""[Title/Abstract]) OR AOSpine[Title/Abstract]) OR AO[Title/Abstract]) OR A2[Title/Abstract]) OR A3[Title/Abstract]) OR A4[Title/Abstract]) OR burst[Title/Abstract]) OR compression[Title/Abstract])) AND ((((((((spinal injuries[MeSH Terms]) OR fractures, bone[mh:noexp]) OR in[sh]) OR fracture*[Title]) OR injur*[Title])) AND (((((thoracic vertebrae[mh]) OR lumbar vertebrae[mh]) OR thoraco*[ti]) OR thoracic[ti]) OR lumbar[ti])) AND ((((((((((((demograph*[Title]) OR stats[Title]) OR statistic*[Title]) OR prevalence[Title]) OR occurrence[Title]) OR frequency[Title]) OR morbidity[Title]) OR incidence[Title]) OR distribut*[Title]) OR epidemiol*[Title]) OR ep[MeSH Subheading]) OR demography[MeSH Terms])))) AND 1600/01/01:2019/02/23[crdt]",217,12:47:54
#49,"Search ((((((((((((""""Arbeitsgemeinschaft fur Osteosynthesefragen""""[Title/Abstract]) OR """"Association for Osteosynthesis""""[Title/Abstract]) OR """"Arbeitsgemeinschaft fur Osteosynthesefragen""""[Title/Abstract]) OR """"Association for the Study of Internal Fixation""""[Title/Abstract]) OR AOSpine[Title/Abstract]) OR AO[Title/Abstract]) OR A2[Title/Abstract]) OR A3[Title/Abstract]) OR A4[Title/Abstract]) OR burst[Title/Abstract]) OR compression[Title/Abstract])) AND 1600/01/01:2019/02/23[crdt]",224169,12:47:11
#48,"Search ((((((((((((""""Arbeitsgemeinschaft fur Osteosynthesefragen""""[Title/Abstract]) OR """"Association for Osteosynthesis""""[Title/Abstract]) OR """"Arbeitsgemeinschaft fur Osteosynthesefragen""""[Title/Abstract]) OR """"Association for the Study of Internal Fixation""""[Title/Abstract]) OR AOSpine[Title/Abstract]) OR AO[Title/Abstract]) OR A2[Title/Abstract]) OR A3[Title/Abstract]) OR A4[Title/Abstract]) OR burst[Title/Abstract]) OR compression[Title/Abstract])) AND ((((((((spinal injuries[MeSH Terms]) OR fractures, bone[mh:noexp]) OR in[sh]) OR fracture*[Title]) OR injur*[Title])) AND (((((thoracic vertebrae[mh]) OR lumbar vertebrae[mh]) OR thoraco*[ti]) OR thoracic[ti]) OR lumbar[ti])) AND ((((((((((((demograph*[Title]) OR stats[Title]) OR statistic*[Title]) OR prevalence[Title]) OR occurrence[Title]) OR frequency[Title]) OR morbidity[Title]) OR incidence[Title]) OR distribut*[Title]) OR epidemiol*[Title]) OR ep[MeSH Subheading]) OR demography[MeSH Terms]))",217,12:45:53
#47,"Search ((((((((((""""Arbeitsgemeinschaft fur Osteosynthesefragen""""[Title/Abstract]) OR """"Association for Osteosynthesis""""[Title/Abstract]) OR """"Arbeitsgemeinschaft fur Osteosynthesefragen""""[Title/Abstract]) OR """"Association for the Study of Internal Fixation""""[Title/Abstract]) OR AOSpine[Title/Abstract]) OR AO[Title/Abstract]) OR A2[Title/Abstract]) OR A3[Title/Abstract]) OR A4[Title/Abstract]) OR burst[Title/Abstract]) OR compression[Title/Abstract]",224208,12:45:27
#46,"Search compression[Title/Abstract]",100890,12:44:04
#45,"Search burst[Title/Abstract]",43688,12:43:48
#44,"Search A4[Title/Abstract]",6907,12:43:35
#43,"Search A3[Title/Abstract]",14563,12:43:27
#42,"Search A2[Title/Abstract]",53300,12:43:15
