Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Exploring the challenges of medical/nursing tasks in home care experienced by caregivers of older adults with dementia: An integrative review.","/pubmed/31323707","Lee M, Ryoo JH, Campbell C, Hollen PJ, Williams IC.","J Clin Nurs. 2019 Jul 19. doi: 10.1111/jocn.15007. [Epub ahead of print]","J Clin Nurs.  2019","PubMed","citation","PMID:31323707","pubmed","31323707","create date:2019/07/20 | first author:Lee M",
"Root resorption in orthodontic treatment with clear aligners: a systematic review and meta-analysis.","/pubmed/31323701","Fang X, Qi R, Liu C.","Orthod Craniofac Res. 2019 Jul 19. doi: 10.1111/ocr.12337. [Epub ahead of print]","Orthod Craniofac Res.  2019","PubMed","citation","PMID:31323701","pubmed","31323701","create date:2019/07/20 | first author:Fang X",
"Asymptomatic spinal dural arteriovenous fistula: case series and systematic review.","/pubmed/31323622","Shimizu K, Takeda M, Mitsuhara T, Tanaka S, Nagano Y, Yamahata H, Kurisu K, Yamaguchi S.","J Neurosurg Spine. 2019 Jul 19:1-9. doi: 10.3171/2019.5.SPINE181513. [Epub ahead of print] Review.","J Neurosurg Spine.  2019","PubMed","citation","PMID:31323622","pubmed","31323622","create date:2019/07/20 | first author:Shimizu K",
"Effectiveness of interactive computer play on balance and postural control for children with cerebral palsy: A systematic review.","/pubmed/31323621","Pin TW.","Gait Posture. 2019 Jul 6;73:126-139. doi: 10.1016/j.gaitpost.2019.07.122. [Epub ahead of print] Review.","Gait Posture.  2019","PubMed","citation","PMID:31323621","pubmed","31323621","create date:2019/07/20 | first author:Pin TW",
"The effect of leucovorin rescue therapy on methotrexate-induced oral mucositis in the treatment of paediatric ALL: A systematic review.","/pubmed/31323533","Van der Beek JN, Oosterom N, Pieters R, de Jonge R, van den Heuvel-Eibrink MM, Heil SG.","Crit Rev Oncol Hematol. 2019 Jul 9;142:1-8. doi: 10.1016/j.critrevonc.2019.07.003. [Epub ahead of print] Review.","Crit Rev Oncol Hematol.  2019","PubMed","citation","PMID:31323533","pubmed","31323533","create date:2019/07/20 | first author:Van der Beek JN",
"Cerebral imaging in adult mitochondrial disorders.","/pubmed/31323519","Finsterer J.","J Neurol Sci. 2019 Jul 10;404:29-35. doi: 10.1016/j.jns.2019.07.013. [Epub ahead of print] Review.","J Neurol Sci.  2019","PubMed","citation","PMID:31323519","pubmed","31323519","create date:2019/07/20 | first author:Finsterer J",
"Cost of disease modifying therapies for multiple sclerosis: Is front-loading the answer?","/pubmed/31323518","Batcheller L, Baker D.","J Neurol Sci. 2019 Jul 9;404:19-28. doi: 10.1016/j.jns.2019.07.009. [Epub ahead of print] Review.","J Neurol Sci.  2019","PubMed","citation","PMID:31323518","pubmed","31323518","create date:2019/07/20 | first author:Batcheller L",
"Final outcome of a second trimester low-positioned placenta: A systematic review and meta-analysis.","/pubmed/31323500","Jansen CHJR, Kleinrouweler CE, van Leeuwen L, Ruiter L, Limpens J, van Wely M, Mol BW, Pajkrt E.","Eur J Obstet Gynecol Reprod Biol. 2019 Jul 4;240:197-204. doi: 10.1016/j.ejogrb.2019.06.020. [Epub ahead of print] Review.","Eur J Obstet Gynecol Reprod Biol.  2019","PubMed","citation","PMID:31323500","pubmed","31323500","create date:2019/07/20 | first author:Jansen CHJR",
"The Use of Sacral Osteotomy in the Correction of Spinal Deformity | Technical Report and Systematic Review of the Literature.","/pubmed/31323414","Pennington Z, Ahmed AK, Goodwin CR, Westbroek EM, Sciubba DM.","World Neurosurg. 2019 Jul 16. pii: S1878-8750(19)31989-8. doi: 10.1016/j.wneu.2019.07.083. [Epub ahead of print]","World Neurosurg.  2019","PubMed","citation","PMID:31323414","pubmed","31323414","create date:2019/07/20 | first author:Pennington Z",
"Single vs. double burr hole craniostomy in surgical treatment of chronic subdural hematoma: A meta-analysis.","/pubmed/31323397","Wan Y, Xie D, Xue Z, Xie J, Song Z, Wang Y, Yang S.","World Neurosurg. 2019 Jul 16. pii: S1878-8750(19)32003-0. doi: 10.1016/j.wneu.2019.07.097. [Epub ahead of print]","World Neurosurg.  2019","PubMed","citation","PMID:31323397","pubmed","31323397","create date:2019/07/20 | first author:Wan Y",
"Effect of particulate matter-bound metals exposure on prothrombotic biomarkers: A systematic review.","/pubmed/31323394","Signorelli SS, Oliveri Conti G, Zanobetti A, Baccarelli A, Fiore M, Ferrante M.","Environ Res. 2019 Jul 2;177:108573. doi: 10.1016/j.envres.2019.108573. [Epub ahead of print] Review.","Environ Res.  2019","PubMed","citation","PMID:31323394","pubmed","31323394","create date:2019/07/20 | first author:Signorelli SS",
"Global Prevalence of Colorectal Neoplasia: a Systematic Review and Meta-analysis.","/pubmed/31323383","Wong MC, Huang J, Huang JL, Pang TW, Choi P, Wang J, Chiang JI, Jiang JY.","Clin Gastroenterol Hepatol. 2019 Jul 16. pii: S1542-3565(19)30749-9. doi: 10.1016/j.cgh.2019.07.016. [Epub ahead of print] Review.","Clin Gastroenterol Hepatol.  2019","PubMed","citation","PMID:31323383","pubmed","31323383","create date:2019/07/20 | first author:Wong MC",
"Brexanolone for postpartum depression: A meta-analysis of randomized controlled studies.","/pubmed/31323375","Zheng W, Cai DB, Zheng W, Sim K, Ungvari GS, Peng XJ, Ning YP, Wang G, Xiang YT.","Psychiatry Res. 2019 Jul 4;279:83-89. doi: 10.1016/j.psychres.2019.07.006. [Epub ahead of print] Review.","Psychiatry Res.  2019","PubMed","citation","PMID:31323375","pubmed","31323375","create date:2019/07/20 | first author:Zheng W",
"Characteristics and prognosis of IgG4-related periaortitis/periarteritis: A systematic literature review.","/pubmed/31323364","Akiyama M, Kaneko Y, Takeuchi T.","Autoimmun Rev. 2019 Jul 16:102354. doi: 10.1016/j.autrev.2019.102354. [Epub ahead of print] Review.","Autoimmun Rev.  2019","PubMed","citation","PMID:31323364","pubmed","31323364","create date:2019/07/20 | first author:Akiyama M",
"Commentary to, Ceresoli M, Tamini N, Gianotti L et al. ""Are endoscopic loop ties safe even in complicated acute appendicitis? A systematic review and meta-analysis"".","/pubmed/31323341","Muensterer OJ.","Int J Surg. 2019 Jul 16. pii: S1743-9191(19)30163-3. doi: 10.1016/j.ijsu.2019.07.011. [Epub ahead of print] No abstract available. ","Int J Surg.  2019","PubMed","citation","PMID:31323341","pubmed","31323341","create date:2019/07/20 | first author:Muensterer OJ",
"Cardiovascular profile in osteoarthritis: A meta-analysis of cardiovascular events and risk factors.","/pubmed/31323333","Mathieu S, Couderc M, Tournadre A, Soubrier M.","Joint Bone Spine. 2019 Jul 16. pii: S1297-319X(19)30105-8. doi: 10.1016/j.jbspin.2019.06.013. [Epub ahead of print]","Joint Bone Spine.  2019","PubMed","citation","PMID:31323333","pubmed","31323333","create date:2019/07/20 | first author:Mathieu S",
"Determination of chemical-disease risk values to prioritize connections between environmental factors, genetic variants, and human diseases.","/pubmed/31323264","Kosnik MB, Reif DM.","Toxicol Appl Pharmacol. 2019 Jul 16:114674. doi: 10.1016/j.taap.2019.114674. [Epub ahead of print]","Toxicol Appl Pharmacol.  2019","PubMed","citation","PMID:31323264","pubmed","31323264","create date:2019/07/20 | first author:Kosnik MB",
"A Prolonged Air Leak Score for Lung Cancer Resection: An Analysis of the STS GTSD.","/pubmed/31323209","Seder CW, Basu S, Ramsay T, Rocco G, Blackmon S, Liptay MJ, Gilbert S.","Ann Thorac Surg. 2019 Jul 16. pii: S0003-4975(19)31034-3. doi: 10.1016/j.athoracsur.2019.05.069. [Epub ahead of print]","Ann Thorac Surg.  2019","PubMed","citation","PMID:31323209","pubmed","31323209","create date:2019/07/20 | first author:Seder CW",
"Amphibian responses to livestock use of wetlands: new empirical data and a global review.","/pubmed/31323162","Howell HJ, Mothes CC, Clements SL, Catania SV, Rothermel BB, Searcy CA.","Ecol Appl. 2019 Jul 19:e01976. doi: 10.1002/eap.1976. [Epub ahead of print]","Ecol Appl.  2019","PubMed","citation","PMID:31323162","pubmed","31323162","create date:2019/07/20 | first author:Howell HJ",
"The Prognostic Role of Tumour-infiltrating Lymphocytes in Oral Squamous Cell Carcinoma: a Meta-analysis.","/pubmed/31323145","Huang Z, Xie N, Liu H, Wan Y, Zhu Y, Zhang M, Tao Y, Zhou H, Liu X, Hou J, Wang C.","J Oral Pathol Med. 2019 Jul 19. doi: 10.1111/jop.12927. [Epub ahead of print] Review.","J Oral Pathol Med.  2019","PubMed","citation","PMID:31323145","pubmed","31323145","create date:2019/07/20 | first author:Huang Z",
"Comparing parent and provider priorities in discussions of early detection and intervention for infants with and at risk of cerebral palsy.","/pubmed/31323144","Byrne R, Duncan A, Pickar T, Burkhardt S, Boyd RN, Neel ML, Maitre NL.","Child Care Health Dev. 2019 Jul 19. doi: 10.1111/cch.12707. [Epub ahead of print]","Child Care Health Dev.  2019","PubMed","citation","PMID:31323144","pubmed","31323144","create date:2019/07/20 | first author:Byrne R",
"Predictors of tolvaptan short-term response in patients with refractory ascites: a meta-analysis.","/pubmed/31323125","Bellos I, Kontzoglou K, Perrea DN.","J Gastroenterol Hepatol. 2019 Jul 19. doi: 10.1111/jgh.14784. [Epub ahead of print]","J Gastroenterol Hepatol.  2019","PubMed","citation","PMID:31323125","pubmed","31323125","create date:2019/07/20 | first author:Bellos I",
"Community first responders for out-of-hospital cardiac arrest in adults and children.","/pubmed/31323120","Barry T, Doheny MC, Masterson S, Conroy N, Klimas J, Segurado R, Codd M, Bury G.","Cochrane Database Syst Rev. 2019 Jul 19;7:CD012764. doi: 10.1002/14651858.CD012764.pub2. [Epub ahead of print] Review.","Cochrane Database Syst Rev.  2019","PubMed","citation","PMID:31323120","pubmed","31323120","create date:2019/07/20 | first author:Barry T",
"Enhanced activity of soil nutrient-releasing enzymes after plant invasion: a meta-analysis.","/pubmed/31323119","Zhou Y, Staver AC.","Ecology. 2019 Jul 19:e02830. doi: 10.1002/ecy.2830. [Epub ahead of print]","Ecology.  2019","PubMed","citation","PMID:31323119","pubmed","31323119","create date:2019/07/20 | first author:Zhou Y",
